Temperatur;Heat high [MWh/m2];Heat Medium (bu6);Heat Low;Base demand;Wind Onshore;Wind Offshore;PV;WW
-2.6;1.20208E-05;3.70431E-06;4.54735E-07;30715.49136;0.1553;0.6931;0;0.00000027
-3.9;2.20566E-05;9.3042E-06;6.00972E-06;29159.49136;0.1533;0.6962;0;0.00000027
-4.6;2.64164E-05;1.10675E-05;7.59912E-06;27481.49136;0.1538;0.6788;0;0.00000027
-3.9;2.84781E-05;1.14944E-05;6.21421E-06;26455.49136;0.1567;0.6127;0;0.00000027
-3.3;3.03144E-05;1.18933E-05;4.24463E-06;26319.49136;0.1548;0.5918;0;0.00000027
-2.9;7.09622E-05;4.12556E-05;3.70947E-05;25653.49136;0.1398;0.482;0;0.00000027
-2;6.37735E-05;3.45854E-05;2.94276E-05;34581.71331;0.1278;0.4049;0;0.00000227
-1.5;6.22589E-05;3.21998E-05;2.57365E-05;34480.42661;0.1138;0.2899;0;0.00000454
-1.2;6.64103E-05;3.5645E-05;2.46498E-05;35006.71331;0.0973;0.1984;0.0035;0.00000227
-0.6;6.57818E-05;3.49517E-05;2.17858E-05;37347.94844;0.0802;0.1351;0.0248;0.00000135
0.1;6.48506E-05;3.41151E-05;1.91652E-05;40085.94844;0.0601;0.0939;0.0646;0.00000135
0.5;6.29299E-05;3.22713E-05;1.58227E-05;42691.66175;0.0403;0.0531;0.0966;0.00000362
0.4;6.31366E-05;3.13296E-05;1.39559E-05;43405.42661;0.0281;0.0404;0.1056;0.00000454
0.9;6.45837E-05;3.24954E-05;1.36563E-05;42852.71331;0.0172;0.0254;0.0952;0.00000227
1.2;6.47738E-05;3.23761E-05;1.35219E-05;42443.94844;0.0109;0.0148;0.0626;0.00000135
1.5;6.47993E-05;3.19633E-05;1.32171E-05;42808.94844;0.0097;0.002;0.0216;0.00000135
1.7;6.11517E-05;2.79921E-05;1.12695E-05;45117.66175;0.0162;0.0006;0.0013;0.00000362
1.8;5.96877E-05;2.62451E-05;1.03236E-05;48053.80905;0.0315;0.0015;0;0.000005
1.6;6.02438E-05;2.63702E-05;1.0065E-05;48655.04418;0.05;0.0287;0;0.00000408
